epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3000.34,1.14391,0.90158,0.96333,0.75216,0.87669,0.87097,0.63064,1.4398,1.03767,1.1379,0.000703961,0.000703961,0.000703961
43,3065.54,1.11289,0.86766,0.97105,0.83969,0.83018,0.91101,0.66112,1.43428,1.03058,1.15328,0.000686277,0.000686277,0.000686277
44,3131.17,1.16012,0.8778,0.99214,0.87335,0.77248,0.87595,0.61297,1.38312,0.99235,1.1316,0.000668593,0.000668593,0.000668593
45,3196.2,1.16941,0.89142,0.97867,0.83942,0.81317,0.87972,0.61353,1.40282,1.03173,1.10713,0.000650909,0.000650909,0.000650909
46,3261.36,1.1218,0.84145,0.98749,0.78504,0.88947,0.88692,0.60845,1.43077,0.96976,1.12113,0.000633226,0.000633226,0.000633226
47,3326.64,1.0921,0.81717,0.96261,0.90688,0.86682,0.92653,0.59001,1.47188,0.96824,1.15312,0.000615542,0.000615542,0.000615542
48,3392.08,1.10494,0.83437,0.97594,0.89107,0.83404,0.90039,0.61685,1.39076,1.05288,1.11857,0.000597858,0.000597858,0.000597858
49,3457.72,1.1726,0.85735,0.97397,0.88238,0.84382,0.89618,0.61618,1.45508,1.06306,1.12288,0.000580174,0.000580174,0.000580174
50,3523.23,1.05443,0.78034,0.94303,0.85886,0.87277,0.90523,0.62555,1.45098,0.99304,1.1121,0.00056249,0.00056249,0.00056249
51,3589.04,1.11788,0.80751,0.9558,0.83776,0.88577,0.91139,0.63683,1.39244,0.93828,1.102,0.000544806,0.000544806,0.000544806
52,3654.68,1.04172,0.76886,0.93539,0.81469,0.85959,0.90336,0.6211,1.3917,0.93829,1.09641,0.000527122,0.000527122,0.000527122
53,3720.36,1.06465,0.79581,0.9635,0.66637,0.9117,0.90975,0.6297,1.41088,0.93691,1.09615,0.000509438,0.000509438,0.000509438
54,3786.12,1.06678,0.78712,0.96915,0.78636,0.76912,0.90069,0.61281,1.43754,0.95928,1.1237,0.000491755,0.000491755,0.000491755
55,3851.7,1.05242,0.76488,0.92941,0.80367,0.82458,0.8968,0.60682,1.47451,0.95526,1.12011,0.000474071,0.000474071,0.000474071
56,3917.79,1.09409,0.79365,0.98506,0.74026,0.88221,0.85742,0.57884,1.42424,0.98535,1.11896,0.000456387,0.000456387,0.000456387
57,3984.78,1.06213,0.79137,0.94874,0.77708,0.87903,0.89146,0.6085,1.3934,0.94936,1.10169,0.000438703,0.000438703,0.000438703
58,4051.91,1.05608,0.72901,0.95222,0.80137,0.82931,0.89549,0.61093,1.48104,0.95331,1.13019,0.000421019,0.000421019,0.000421019
59,4119.02,1.07154,0.7462,0.94855,0.78414,0.84451,0.93537,0.65014,1.45992,0.89387,1.11966,0.000403335,0.000403335,0.000403335
60,4186.23,1.08626,0.76264,0.94583,0.7302,0.85075,0.9237,0.65958,1.4958,0.86899,1.1508,0.000385651,0.000385651,0.000385651
61,4253.64,0.99119,0.69329,0.92269,0.75439,0.81989,0.92076,0.62294,1.46247,0.89193,1.1331,0.000367967,0.000367967,0.000367967
62,4320.87,1.0272,0.70698,0.91465,0.66448,0.90187,0.89956,0.6214,1.4295,0.90979,1.12741,0.000350284,0.000350284,0.000350284
63,4388.3,1.00607,0.73895,0.9466,0.63202,0.83426,0.89407,0.62131,1.40385,0.95697,1.11874,0.0003326,0.0003326,0.0003326
